Criteria;Province;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Highway density;Zhejiang;11,76470588;12,76372549;13,73235294;14,25882353;14,86372549;15,58137255;15,89705882;16,68627451;18,25588235;20,17058824;21,42745098;22,31960784;23,10392157;23,67843137;24,1754902;25,10882353;26,16568627;27,29803922;28,28823529;28,93039216;29,60294118;30,09803922;30,68039216;32,19411765;32,78235294;33,45196078;34,23921569;35,41862745;37,77745098;39,47647059;40,78921569;43,14215686;44,75098039;45,2872549;46,01470588;47,64705882;93,44117647;97,85490196;101,6196078;104,854902;108,0166667;109,5843137;111,3235294;113,1627451;114,0852941;115,7009804;117,269902;118,7694118;120,2689216;121,7684314;123,2679412;124,767451;126,2669608;127,7664706;129,2659804;130,7654902;132,265;133,7645098;135,2640196;136,7635294;138,2630392
Highway density;Anhui;12,45168218;13,4781675;13,50751611;13,87258411;13,93987115;14,7773801;15,94989263;16,32927702;16,95060845;17,11023622;17,16821761;17,89477452;18,24337867;18,56406586;18,24337867;19,31853973;20,15604868;20,45884037;20,52040086;21,52827487;21,56478168;21,79527559;21,8833214;21,99212598;22,10164639;25,18110236;25,89978525;26,82963493;28,1059413;29,24624195;31,84896206;47,1059413;48,35146743;49,79241231;51,38367931;52,1166786;105,662849;106,2075877;106,5332856;106,7888332;106,9305655;107,0400859;118,2226199;124,3829635;124,8196135;133,8153185;139,7003579;145,7151038;151,7298497;157,7445956;163,7593414;169,7740873;175,7888332;181,8035791;187,818325;193,8330709;199,8478168;205,8625626;211,8773085;217,8920544;223,9068003
Highway density;Fujian;14,95136026;16,0008244;16,40643034;17,25638912;18,23083265;19,95383347;21,23000824;22,70733718;23,99752679;26,47320692;26,856554;27,19126134;27,88705688;28,39653751;28,87056884;29,66776587;30,64715581;31,44929926;32,25391591;33,0008244;33,80956307;34,41467436;34,52761748;35,90931575;36,77493817;38,39571311;38,90849134;39,30750206;39,58862325;41,38664468;42,10469909;44,1442704;44,64550701;45,23990107;46,33800495;48,05111294;71,36026381;71,66199505;73,04781533;73,7873042;75,03297609;76,11046991;78,03874691;82,05688376;83,42126958;86,22011542;88,85004122;91,41022259;93,97040396;96,53058533;99,09076669;101,6509481;104,2111294;106,7713108;109,3314922;111,8916735;114,4518549;117,0120363;119,5722176;122,132399;124,6925804
Highway density;Jiangxi;16,02754491;19,34670659;19,34670659;17,17365269;17,55568862;20,31377246;21,37664671;17,96407186;18,11077844;18,35329341;17,75508982;17,93233533;18,26167665;18,3754491;18,69520958;19,01796407;19,08682635;19,08862275;19,29101796;19,68682635;19,88203593;20,09640719;20,3508982;20,48323353;20,69221557;20,90718563;20,93592814;21,09820359;22,0760479;22,10658683;22,23832335;36,11616766;36,34491018;36,66646707;37,04191617;37,30538922;76,78802395;78,15269461;80,12874251;82,04251497;84,18982036;87,80359281;90,17664671;91,05808383;93,12275449;93,78742515;95,66383234;97,15520958;98,64658683;100,1379641;101,6293413;103,1207186;104,6120958;106,1034731;107,5948503;109,0862275;110,5776048;112,068982;113,5603593;115,0517365;116,5431138
Highway density;Shandong;18,95903771;19,44278283;19,74577373;20,00585176;20,18855657;20,6189857;21,44213264;21,86540962;22,26527958;22,84720416;22,95903771;22,94668401;23,08452536;23,22626788;23,36475943;23,61963589;24,06046814;24,40182055;25,20091027;25,86671001;26,50975293;27,26723017;28,04551365;29,93042913;32,65604681;35,26853056;37,2373212;38,53055917;41,70676203;44,11378414;45,95968791;46,24707412;48,13328999;49,58777633;50,56306892;52,10078023;133,2314694;137,9954486;143,4902471;147,3946684;149,453186;151,6189857;159,0286086;164,3602081;168,7353706;171,2919376;177,7228218;182,6280884;187,533355;192,4386216;197,3438882;202,2491547;207,1544213;212,0596879;216,9649545;221,8702211;226,7754876;231,6807542;236,5860208;241,4912874;246,396554
Highway density;Henan;13,36526946;14,05868263;14,63952096;15,14790419;15,79640719;16,12814371;16,91137725;17,77724551;18,89161677;21,6497006;21,81017964;21,84311377;22,10299401;22,27305389;22,57724551;23,25748503;23,5245509;23,78023952;24,3245509;24,65269461;25,83832335;26,46646707;26,9754491;27,83652695;28,56526946;29,76467066;30,48323353;32,94311377;34,23473054;36,1257485;38,59461078;41,34191617;42,95868263;44,21017964;45,34071856;47,60838323;141,5275449;142,9197605;144,0988024;145,0982036;146,7598802;148,2556886;149,4904192;149,5994012;149,6149701;150,0502994;150,5162874;150,8876647;151,2590419;151,6304192;152,0017964;152,3731737;152,7445509;153,1159281;153,4873054;153,8586826;154,2300599;154,6014371;154,9728144;155,3441916;155,7155689
Highway density;Hubei;14,61108123;20,92670555;21,17907194;21,43143833;21,68380472;19,06401291;21,06024744;22,61108123;24,47982786;23,98386229;23,98386229;24,15223238;24,17751479;24,19849381;24,22054868;24,30661646;24,78913394;25,27756859;25,39214632;25,46261431;25,55728886;25,63797741;25,76223776;25,8246369;26,00806885;26,2119419;26,7654653;27,31522324;28,50403443;29,7950511;31,11888112;46,13071544;46,31414739;47,23668639;48,23722431;49,02151694;97,78967187;98,85960194;101,3265196;106,0763852;110,9257665;114,4416353;117,3485745;122,0613233;127,4518558;136,0839161;139,4938139;144,8325982;150,1713825;155,5101668;160,848951;166,1877353;171,5265196;176,8653039;182,2040882;187,5428725;192,8816568;198,2204411;203,5592254;208,8980097;214,236794
Highway density;Hunan;13,89848914;15,13975449;15,49763928;16,98677998;18,09773371;22,09773371;23,5802644;26,16619452;28,11189802;25,81586402;25,91926346;26,04107649;26,10434372;26,19593957;26,32483475;26,44098206;26,74032106;26,87913126;26,95467422;27,0108593;27,12936733;27,23937677;27,43626062;27,58309726;27,76345609;27,91548631;28,11803588;28,21576959;28,36213409;28,52502361;28,72898961;31,4414542;40,04154863;40,24220963;41,48961284;41,64305949;81,13692162;82,8210576;87,14258735;90,37063267;107,6477809;109,6270066;110,5004721;111,1388102;111,5439093;111,8441926;112,574221;113,1220019;113,6697828;114,2175637;114,7653447;115,3131256;115,8609065;116,4086874;116,9564684;117,5042493;118,0520302;118,5998111;119,1475921;119,695373;120,2431539
Highway density;Guangdong;19,40833333;20,515;20,89722222;21,66944444;22,19277778;24,285;25,885;27,66388889;28,99666667;26,95388889;27,44722222;27,71055556;27,98944444;28,10222222;28,34055556;28,49333333;29,325;29,56555556;29,9;30,20055556;30,37277778;30,72611111;31,04611111;37,53;42,06444444;46,98166667;49,795;51,03444444;51,50722222;53,11666667;57,00222222;58,22111111;60,29888889;61,25166667;61,91777778;64,07611111;99,10388889;101,1138889;101,7527778;102,7555556;105,6355556;105,9577778;108,3016667;112,7305556;117,83;120,0127778;124,2580556;128,0218889;131,7857222;135,5495556;139,3133889;143,0772222;146,8410556;150,6048889;154,3687222;158,1325556;161,8963889;165,6602222;169,4240556;173,1878889;176,9517222
Highway density;Guangxi;8,727118644;9,502542373;10,82669492;11,07457627;11,28813559;11,65762712;12,00635593;12,42923729;12,61567797;13,00508475;13,4;13,48432203;13,62542373;13,78347458;13,88008475;13,97118644;14,07711864;14,37627119;15;15,2309322;15,34491525;15,53389831;15,80127119;16,31144068;16,75847458;17,33220339;18,09152542;19,2279661;21,64110169;21,77033898;22,41949153;23,2;23,85466102;24,76737288;25,29830508;26,27245763;38,27033898;39,91610169;42,06483051;42,5809322;43,1279661;44,44449153;45,72288136;47,19661017;48,68644068;49,9970339;51,43008475;52,83694915;54,24381356;55,65067797;57,05754237;58,46440678;59,87127119;61,27813559;62,685;64,09186441;65,49872881;66,90559322;68,31245763;69,71932203;71,12618644
