Area;Indicator _English;Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;;;
Enviornmental;Protected wilderness area (1000 sq.km);PWA_SQ;1494843,96;1494843,96;1594500,224;1594500,224;1594500,224;1594500,224;1594500,224;1694156,488;1694156,488;1694156,488;1694156,488;1694156,488;1694156,488;1793812,752;1793812,752;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1893469,016;1793812,752;1793812,752;1793812,752;1793812,752;1793812,752;1793812,752;1793812,752;1694156,488;1694156,488;1694156,488;1694156,488;1694156,488;1594500,224;1594500,224;1594500,224;1594500,224;1594500,224;1494843,96;1494843,96;1494843,96;1494843,96;1494843,96;1494843,96;1494843,96;1395187,696;1395187,696;1295531,432;1395187,696;1395187,696;1395187,696;1295531,432;1295531,432;1295531,432;1295531,432;1295531,432;1295531,432;1295531,432;1295531,432;1195875,168;;;;;
Enviornmental;Ratio of protected wilderness areas (%);RPWA;0,15;0,15;0,16;0,16;0,16;0,16;0,16;0,17;0,17;0,17;0,17;0,17;0,17;0,18;0,18;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,17;0,17;0,17;0,17;0,17;0,16;0,16;0,16;0,16;0,16;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,14;0,14;0,14;0,14;0,14;0,14;0,13;0,13;0,13;0,13;0,13;0,13;0,13;0,13;0,12;;;;;
Enviornmental;Wetland area（thousands of hectares）;Wet_A;38485,5;38485,5;38485,5;38485,5;38485,5;38485,5;38485,5;38485,5;38485,5;38485,5;37980;37980;37980;37980;37980;37980;37980;37980;37980;37980;37650;37650;37650;37650;37650;37650;37650;37650;37650;37650;37360;37360;37360;37360;37360;37360;37360;37360;37360;37360;36980;36980;36980;36980;36980;36980;36980;36980;36980;36980;35978;35978;35978;35978;35978;35978;35978;35978;34789;34789;34789;34789;34789;34789;33987;33987;33987;33987;33987;33987;33987;;;;;
Enviornmental;Woodland area;Wood_A;108,2134608;108,0105683;107,1828519;106,2507551;105,9942757;105,962076;105,3587499;105,2221451;104,3511576;104,2424013;104,1968325;103,6542362;102,8941968;102,2101136;101,6928309;101,6535291;101,3216495;101,0593065;100,7541338;99,95576421;99,34061657;98,99386561;98,96412235;98,12909081;97,87272929;97,60107214;97,41445634;97,37581733;96,75282947;95,87782339;95,19068991;95,00187095;94,70348557;94,320737;94,20710486;93,56343847;93,26928025;93,02824349;92,21552369;91,85832479;90,95206485;86,007581;84,10635603;82,55948605;80,60966204;79,30975316;77,9831982;75,92967308;73,93505715;71,76234234;69,72290514;68,02460335;66,82448635;65,71127956;64,24042648;62,77080637;61,93447419;61,17726526;59,89674756;58,6384703;57,28146385;56;56;56;56;56;56;55;55;55;55;;;;;
Enviornmental;Available grassland area (ten thousand t);GA;63591,7;63591,7;63591,7;63591,7;63591,7;63591,7;63591,7;63591,7;63591,7;63591,7;62897;62897;62897;62897;62897;62897;62897;62897;62897;62897;61235;61235;61235;61235;61235;61235;61235;61235;61235;61235;60235;60235;60235;60235;60235;60235;60235;60235;60235;60235;59457;59457;59457;59457;59457;59457;59457;59457;59457;59457;59457;58769;58769;58769;58769;58769;58769;58769;58769;56000;56000;56000;56000;56000;56000;56000;56000;54350;54350;54350;54350;;;;;
Enviornmental;Energy consumption (10 thousands of standard coal);EC;;;;;;;;;;;;;;;;;;;;;;;;;;;82965,05;89539,05;95186,05;96735,71;99779,05;135208,36;139968,05;138043,01;82965,05;89539,05;95186,05;96735,71;99779,05;135208,36;139968,05;138043,01;138498,01;140320,01;151055,99;154091,02;176184;200362;232503,61;263848,01;278698;281245;298134;286476;278345;276457;287654;298754;293456;298790;299567;287690;284568;298789;302346;304987;305476;307897;308123;309543;307890;;;;;
Enviornmental;Waste Water discharge;WW;188000;190000;192000;191906;192500;194560;195467;198000;264000;441000;507000;684000;750000;927000;993000;1170000;1236000;1413000;1479000;1656000;1722000;1899000;1965000;2142000;2208000;2385000;2451000;2628000;2694000;2871000;2937000;3114000;3180000;3357000;3423000;3600000;3666000;3843000;3909000;4086000;4152000;4329000;4395000;4593000;4824000;5245000;5368000;5568000;5717000;5891000;6173000;6591922;6847612;6954432,7;7161751;7353227;7560545,3;7752021,3;7959339,6;8756928,2;8948404,2;9155722,5;9953311,1;10144787,1;10352105,4;11149694;11341170;11548488,3;12346076,9;12537552,9;12744871,2;;;;;
Global Indices;GINI index (World Bank estimate);GINI;12,38727273;13,00909091;13,63090909;14,25272727;14,87454545;15,49636364;16,11818182;16,74;17,36181818;17,98363636;18,60545455;19,22727273;19,84909091;20,47090909;21,09272727;21,71454545;22,33636364;22,95818182;23,58;24,20181818;24,82363636;25,44545455;26,06727273;26,68909091;27,31090909;27,93272727;28,55454545;29,17636364;29,79818182;30,42;32,3;32,3;32,3;32,3;32,3;32,3;35,3;35,3;35,3;38,7;38,7;38,7;42,1;42,1;42,1;41;41;41;42,9;42,9;43,7;42,4;42,2;39,7;39,1;38,6;38,6;38,5;38,5;35,23214286;34,63809524;34,04404762;31,66785714;31,07380952;30,4797619;28,10357143;27,50952381;26,91547619;24,53928571;23,9452381;23,35119048;;;;;
Global Indices;Global Peace Index (GPI);GPI;0,434;0,446;0,458;0,47;0,482;0,494;0,506;0,518;0,53;0,542;0,554;0,566;0,578;0,59;0,602;0,614;0,626;0,638;0,65;0,662;0,674;0,686;0,698;0,71;0,722;0,734;0,746;0,758;0,855;0,875;0,972;0,992;1,089;1,109;1,206;1,226;1,323;1,343;1,44;1,46;1,557;1,577;1,674;1,694;1,791;1,811;1,908;1,928;2,024;2,045;2,142;2,154;2,157;2,16;2,207;2,242;2,243;2,267;2,288;2,207;2,242;2,243;2,157;2,16;2,207;2,288;2,154;2,157;2,243;2,267;2,238;;;;;
Global Indices;Human Development Index (HDI);HDI;0,206;0,217;0,225;0,236;0,244;0,255;0,263;0,274;0,282;0,293;0,301;0,312;0,32;0,331;0,339;0,35;0,358;0,369;0,377;0,388;0,396;0,407;0,415;0,426;0,434;0,445;0,453;0,464;0,472;0,483;0,491;0,502;0,51;0,521;0,531;0,541;0,55;0,559;0,568;0,576;0,585;0,594;0,602;0,611;0,623;0,635;0,647;0,661;0,675;0,685;0,694;0,706;0,714;0,722;0,729;0,738;0,743;0,748;0,752;0,729;0,738;0,743;0,714;0,722;0,729;0,752;0,706;0,714;0,743;0,748;0,752;;;;;
